"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.960488986759785,12,3,29,4,2
"calme-3.1-instruct-78b",0.920486447491439,14,4,30,5,2
"CalmeRys-78B-Orpo-v0.1",1.01443573350027,10,3,29,3,2
"calme-2.4-rys-78b",0.883620729405026,18,4,31,5,3
"Qwen2.5-72B-Instruct-abli",1.58370182028887,3,1,10,1,1
"Qwen2.5-72B-Instruct",1.89640864525661,1,1,4,1,1
"calme-2.1-qwen2.5-72b",1.71350419190025,2,1,7,1,1
"Homer-v1.0-Qwen2.5-72B",0.849455829821555,20,5,34,5,3
"qwen2.5-test-32b-it",0.894914154881762,16,5,30,5,3
"Linkbricks-Horizon-AI-Ave",0.988001372398847,11,3,29,4,2
"calme-2.2-qwen2.5-72b",1.49460722646602,4,1,13,1,1
"FluentlyLM-Prinum",1.020513548346,9,3,29,4,2
"T3Q-qwen2.5-14b-v1.0-e3",0.27500131142446,35,20,57,23,11
"T3Q-Qwen2.5-14B-Instruct-",0.316032708102324,31,16,55,20,9
"Qwen2.5-32B-Instruct-abli",0.819074135771271,22,5,34,5,3
"Gilgamesh-72B",1.16043298195753,6,2,25,2,1
"ultiima-72B",0.612978984665476,25,6,44,7,5
"zetasepic-abliteratedV2-Q",0.930296298354433,13,4,29,5,2
"Awqward2.5-32B-Instruct",1.24842471413045,5,2,24,2,1
"test-2.5-72B",1.14402550399721,7,2,25,2,1
"shuttle-3",0.91529534482827,15,4,29,5,3
"Qwen2.5-32B-Instruct",1.06400854234453,8,3,28,3,2
"Mistral-Large-Instruct-24",0.124968697135603,43,25,66,25,21
"Rombos-LLM-V2.5-Qwen-72b",0.822210788992904,21,5,34,5,3
"Linkbricks-Horizon-AI-Ave.1",0.889341077361015,17,5,30,5,3
"Qwen2.5-72B-Instruct-abli.1",0.474965546666118,29,9,48,11,6
"Linkbricks-Horizon-AI-Ave.2",0.87033541759573,19,5,31,5,3
"lambda-qwen2.5-32b-dpo-te",0.549020375051248,27,8,45,8,5
"Qwentile2.5-32B-Instruct",0.244354593701539,37,23,58,23,12
"Rombos-LLM-V2.5-Qwen-32b",0.306600057269488,32,19,55,21,9
"openbuddy-llama3.3-70b-v2",-0.564471401016289,76,47,97,49,42
"Linkbricks-Horizon-AI-Ave.3",0.254966921840583,36,23,57,23,12
"huihui-ai-abliterated-Qwe",0.754247121411669,23,5,38,5,4
"Linkbricks-Horizon-AI-Ave.4",0.132052324662019,42,25,66,25,20
"ultiima-32B",0.285430505013386,34,21,56,23,11
"RYS-XLarge",-0.116416349609685,50,30,80,30,26
"Qwen2.5-95B-Instruct",0.359354875379205,30,16,50,20,8
"ultiima-72B-v1.5",0.554006918636258,26,7,46,8,5
"sky-t1-coder-32b-flash",0.172944374109471,40,25,63,25,17
"Llama-3.3-70B-Instruct",0.29491995346488,33,20,55,23,10
"RomboUltima-32B",0.0128790192298402,45,26,76,28,25
"calme-2.1-rys-78b",-0.0807916625055065,49,30,79,30,25
"calme-2.3-rys-78b",-0.0493683266778144,48,29,79,30,25
"calme-2.1-qwen2-72b",-0.198492369511839,51,31,86,33,28
"calme-2.2-rys-78b",-0.237399673451183,53,34,86,36,29
"MG-FinalMix-72B",-0.424063829786872,66,44,96,45,33
"EVA-Qwen2.5-72B-v0.2",0.0779351731386946,44,25,71,26,23
"Qwen2-72B-Orpo-v0.1",-0.524549296992288,73,45,96,47,39
"RYS-XLarge-base",-0.47767260268769,71,45,96,45,37
"calme-2.2-qwen2-72b",-0.275385721512322,56,37,88,39,30
"Arcee-Nova",-0.440095901559758,68,44,96,45,35
"L3.3-MS-Nevoria-70b",-0.997444406810773,96,69,99,72,52
"Set-70b",-0.899691523060113,92,60,99,61,51
"QwentileSwap",0.193275551387813,39,24,60,25,16
"li-14b-v0.4",-0.389360563386447,64,42,95,44,31
"tempmotacilla-cinerea-030",-0.329878140157374,59,39,92,42,30
"L3.3-Nevoria-R1-70b",-0.938067172141653,94,61,99,65,51
"Qwen2-72B-Instruct",-0.368388898139921,60,42,94,43,31
"Galactic-Qwen-14B-Exp2",-0.38098484637967,61,40,96,42,31
"BigQwen2.5-52B-Instruct",0.511303786307434,28,9,46,10,5
"Llama-3.1-SauerkrautLM-70",-0.00566144797522483,46,28,77,29,25
"Llama-3.1-70B-Instruct",-0.222597919313406,52,31,87,34,29
"Dracarys-72B-Instruct",-0.706462389399299,81,51,98,51,45
"Linkbricks-Horizon-AI-Ave.5",0.72860874050394,24,5,39,5,5
"Lamarckvergence-14B",-0.764474743218932,86,52,99,55,47
"Lix-14B-v0.1",-0.73675005197099,83,51,99,53,46
"calme-2.2-llama3.1-70b",-0.0476350726958201,47,29,79,30,25
"NQLSG-Qwen2.5-14B-MegaFus",-0.414963805182939,65,43,96,44,32
"calme-2.3-llama3.1-70b",-0.255101718494506,55,33,88,36,30
"NQLSG-Qwen2.5-14B-MegaFus.1",-0.828463526752347,88,56,99,58,49
"orca_mini_v8_1_70b",-0.733064579945281,82,51,99,51,45
"Apollo-70B",-0.849673469578119,89,58,99,59,50
"ZYH-LLM-Qwen2.5-14B-V4",-0.243444370586553,54,32,87,36,30
"NQLSG-Qwen2.5-14B-MegaFus.2",-0.808468285998281,87,54,99,58,49
"Progenitor-V1.1-LLaMa-70B",-1.34298316955843,99,87,100,87,72
"70B-L3.3-Cirrus-x1",-1.27873255130228,98,81,100,82,70
"magnum-v1-72b",-0.596220203141125,79,49,97,50,42
"magnum-72b-v1",-0.590866648066613,78,49,97,50,42
"lamarckvergence-14b-tenso",-0.980480530026967,95,65,99,69,52
"li-14b-v0.4-slerp0.1",-0.668207638744884,80,51,97,51,45
"miscii-14b-0218",-0.88937170795463,91,59,99,60,51
"Cheng-2",-0.278634471636886,57,35,90,38,30
"NQLSG-Qwen2.5-14B-MegaFus.3",-0.738483136553584,84,51,99,53,46
"Llama3.3-70B-CogniLink",-1.72110632148797,100,97,100,97,88
"tempesthenno-ppo-ckpt40",-0.913752122162783,93,60,99,61,51
"RYS-Llama3.1-Large",-0.559578819624368,75,46,97,47,42
"virtuoso-small-v2-tensopo",-0.456328766066724,69,44,96,45,36
"Cheng-2-v1.1",-0.386743236329063,63,42,95,43,31
"RombosBeagle-v2beta-MGS-3",0.219463897095841,38,23,59,24,13
"TheBeagle-v2beta-32B-MGS",0.172912979672895,41,25,63,25,17
"lambda-qwen2.5-14b-dpo-te",-0.439359069025879,67,44,96,45,34
"tempesthenno-nuslerp-001",-0.861038069572976,90,58,99,60,50
"Qwen2.5-14B-1M-YOYO-V3",-0.310246906083127,58,38,92,39,30
"Josiefied-Qwen2.5-14B-Ins",-0.384226034275138,62,40,95,43,31
"NQLSG-Qwen2.5-14B-MegaFus.4",-0.753979606726315,85,51,99,53,47
"Q2.5-Veltha-14B",-0.475991021344801,70,44,96,45,37
"ECE-ILAB-Q1",-1.14172103020623,97,78,100,80,60
"Virtuoso-Small-v2",-0.537950783120998,74,45,97,47,40
"Qwen2.5-14B-YOYO-V4-p1",-0.573499299297878,77,47,97,49,42
"Chocolatine-14B-Instruct-",-0.523022698911427,72,46,96,47,39
