"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.18078110912566,2,1,14,1,1
"calme-3.1-instruct-78b",1.12098249473393,3,1,16,1,1
"CalmeRys-78B-Orpo-v0.1",1.19811526418924,1,1,12,1,1
"calme-2.4-rys-78b",1.06269896266759,5,1,17,1,1
"Qwen2.5-72B-Instruct-abli",0.772524342672025,12,1,33,1,1
"Qwen2.5-72B-Instruct",0.857090891174524,8,1,32,1,1
"calme-2.1-qwen2.5-72b",0.890944740922829,7,1,30,1,1
"Homer-v1.0-Qwen2.5-72B",0.700116137910799,13,1,37,3,1
"qwen2.5-test-32b-it",0.830122362725826,9,1,33,1,1
"Linkbricks-Horizon-AI-Ave",0.810773513035198,10,1,33,1,1
"calme-2.2-qwen2.5-72b",0.692932931336489,14,3,37,3,1
"FluentlyLM-Prinum",0.804488247234124,11,1,33,1,1
"T3Q-qwen2.5-14b-v1.0-e3",0.543769121456854,19,6,46,6,2
"T3Q-Qwen2.5-14B-Instruct-",0.5948006014693,17,5,42,6,1
"Qwen2.5-32B-Instruct-abli",0.465149841331739,28,6,49,6,4
"Gilgamesh-72B",0.897721195584696,6,1,30,1,1
"ultiima-72B",0.539315105859866,20,6,46,6,2
"zetasepic-abliteratedV2-Q",0.495052159532367,24,6,47,6,3
"Awqward2.5-32B-Instruct",0.664383533552524,15,3,39,4,1
"test-2.5-72B",1.09963773125978,4,1,16,1,1
"shuttle-3",0.523593811740827,21,6,47,6,3
"Qwen2.5-32B-Instruct",0.499149445316246,23,6,47,6,3
"Mistral-Large-Instruct-24",0.125534967104322,42,18,65,19,13
"Rombos-LLM-V2.5-Qwen-72b",0.658265448957018,16,3,39,4,1
"Linkbricks-Horizon-AI-Ave.1",0.41936132069637,31,8,52,9,6
"Qwen2.5-72B-Instruct-abli.1",0.494222917190462,25,6,47,6,3
"Linkbricks-Horizon-AI-Ave.2",0.395991463951761,32,8,54,9,6
"lambda-qwen2.5-32b-dpo-te",0.132925010381959,41,18,64,19,13
"Qwentile2.5-32B-Instruct",0.371489509265227,33,9,55,11,6
"Rombos-LLM-V2.5-Qwen-32b",0.571364493271743,18,6,45,6,1
"openbuddy-llama3.3-70b-v2",-0.0639397186628665,54,32,73,34,19
"Linkbricks-Horizon-AI-Ave.3",0.424002899777131,30,6,52,8,6
"huihui-ai-abliterated-Qwe",0.213351839824192,39,15,62,17,9
"Linkbricks-Horizon-AI-Ave.4",0.258207957959802,36,13,59,15,8
"ultiima-32B",0.520304609959098,22,6,47,6,3
"RYS-XLarge",0.279320023235843,35,13,58,13,6
"Qwen2.5-95B-Instruct",0.0697893584791109,47,20,67,23,15
"ultiima-72B-v1.5",0.483826119937397,26,6,47,6,4
"sky-t1-coder-32b-flash",-0.173570572463894,57,35,84,37,29
"Llama-3.3-70B-Instruct",0.0864278121182194,46,19,65,22,14
"RomboUltima-32B",0.254760354509046,37,13,59,15,8
"calme-2.1-rys-78b",0.115259351526651,44,18,65,19,13
"calme-2.3-rys-78b",-0.0206012196935879,52,29,68,32,18
"calme-2.1-qwen2-72b",0.104707637234646,45,19,65,21,13
"calme-2.2-rys-78b",-0.193651836228427,59,36,85,38,32
"MG-FinalMix-72B",-0.0146040916621999,50,29,69,32,17
"EVA-Qwen2.5-72B-v0.2",0.219361329232001,38,15,60,17,9
"Qwen2-72B-Orpo-v0.1",-0.0818396673233144,55,33,75,34,21
"RYS-XLarge-base",-0.0189351856562925,51,29,69,32,18
"calme-2.2-qwen2-72b",-0.23057497330274,60,38,91,40,33
"Arcee-Nova",-0.27783297688837,64,40,93,40,34
"L3.3-MS-Nevoria-70b",-0.572941217851816,78,56,100,56,48
"Set-70b",-0.512203894768274,70,53,100,55,45
"QwentileSwap",0.287351836046708,34,13,58,13,6
"li-14b-v0.4",-0.330896335649392,65,40,98,46,35
"tempmotacilla-cinerea-030",-0.517594065816149,72,53,100,55,46
"L3.3-Nevoria-R1-70b",-0.393484288025927,66,47,99,48,38
"Qwen2-72B-Instruct",-0.261162144931651,62,40,93,40,34
"Galactic-Qwen-14B-Exp2",0.00926751284488336,49,28,68,29,17
"BigQwen2.5-52B-Instruct",0.0229969873529061,48,26,68,29,17
"Llama-3.1-SauerkrautLM-70",0.116101170203664,43,18,65,19,13
"Llama-3.1-70B-Instruct",-0.176063632049785,58,35,84,38,29
"Dracarys-72B-Instruct",-0.558840692593827,77,56,100,56,48
"Linkbricks-Horizon-AI-Ave.5",0.135623636298053,40,17,64,19,13
"Lamarckvergence-14B",-0.613387612989277,81,56,100,58,49
