"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",2.03371927870499,5,1,12,1,1
"calme-3.1-instruct-78b",2.13932950742404,2,1,11,1,1
"CalmeRys-78B-Orpo-v0.1",2.06377006367108,3,1,11,1,1
"calme-2.4-rys-78b",1.73828002460943,7,1,16,1,1
"Qwen2.5-72B-Instruct-abli",1.37645940836087,11,2,19,3,1
"Qwen2.5-72B-Instruct",1.7910912301174,6,1,15,1,1
"calme-2.1-qwen2.5-72b",1.67910440970262,8,1,16,1,1
"Homer-v1.0-Qwen2.5-72B",1.26147677646503,12,3,25,6,1
"qwen2.5-test-32b-it",0.4847475139071,28,13,58,14,10
"Linkbricks-Horizon-AI-Ave",0.493935912824886,27,13,58,14,10
"calme-2.2-qwen2.5-72b",1.42676822435866,10,1,19,2,1
"FluentlyLM-Prinum",1.083271509174,15,6,36,7,2
"T3Q-qwen2.5-14b-v1.0-e3",1.0992491227206,14,6,38,6,2
"T3Q-Qwen2.5-14B-Instruct-",1.16176947970194,13,6,34,6,1
"Qwen2.5-32B-Instruct-abli",0.514847037667326,26,13,58,13,10
"Gilgamesh-72B",2.03544524765147,4,1,11,1,1
"ultiima-72B",0.645534328042664,20,11,56,12,9
"zetasepic-abliteratedV2-Q",0.732659890108294,19,10,50,11,7
"Awqward2.5-32B-Instruct",0.835811571168661,17,9,47,10,6
"test-2.5-72B",2.20065917779316,1,1,10,1,1
"shuttle-3",1.5393619601234,9,1,17,1,1
"Qwen2.5-32B-Instruct",0.597037823389145,22,12,56,12,9
"Mistral-Large-Instruct-24",0.253615829649406,42,17,70,17,13
"Rombos-LLM-V2.5-Qwen-72b",0.779211383638004,18,10,49,10,6
"Linkbricks-Horizon-AI-Ave.1",0.465634676962666,31,13,59,14,10
"Qwen2.5-72B-Instruct-abli.1",0.524586121853913,25,13,58,13,10
"Linkbricks-Horizon-AI-Ave.2",0.428637868853292,33,13,62,14,11
"lambda-qwen2.5-32b-dpo-te",-0.00767472214365839,51,20,78,20,17
"Qwentile2.5-32B-Instruct",0.247436180849963,43,17,71,17,13
"Rombos-LLM-V2.5-Qwen-32b",0.390517440847796,36,14,64,16,12
"openbuddy-llama3.3-70b-v2",-0.573714558270732,73,47,93,48,35
"Linkbricks-Horizon-AI-Ave.3",-0.0725995701311031,55,22,80,23,17
"huihui-ai-abliterated-Qwe",0.483656576123986,29,13,59,13,10
"Linkbricks-Horizon-AI-Ave.4",-0.0631952771463435,53,20,80,22,17
"ultiima-32B",0.346598153197938,38,16,65,16,12
"RYS-XLarge",0.0668215468161262,48,19,75,20,16
"Qwen2.5-95B-Instruct",0.394086740864088,35,14,64,16,12
"ultiima-72B-v1.5",1.00790690235713,16,6,41,7,3
"sky-t1-coder-32b-flash",-0.132937067237695,57,23,81,26,18
"Llama-3.3-70B-Instruct",0.532814050519445,24,12,58,13,10
"RomboUltima-32B",-0.300916645551856,62,35,83,37,20
"calme-2.1-rys-78b",0.475412044555681,30,13,58,14,10
"calme-2.3-rys-78b",0.460667421509798,32,14,58,14,10
