"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",2.25101601423376,2,1,5,1,1
"calme-3.1-instruct-78b",2.30467634419025,1,1,5,1,1
"CalmeRys-78B-Orpo-v0.1",2.19937857956385,3,1,6,1,1
"calme-2.4-rys-78b",1.86519861895138,5,1,8,1,1
"Qwen2.5-72B-Instruct-abli",0.552964204495823,20,9,56,9,7
"Qwen2.5-72B-Instruct",0.670411928631892,15,9,51,9,6
"calme-2.1-qwen2.5-72b",0.750174362581768,13,7,46,9,6
"Homer-v1.0-Qwen2.5-72B",0.954195846917783,9,6,36,6,4
"qwen2.5-test-32b-it",0.523496772265855,26,9,56,9,7
"Linkbricks-Horizon-AI-Ave",0.435071498142694,30,9,56,9,9
"calme-2.2-qwen2.5-72b",0.537671518001993,24,9,56,9,7
"FluentlyLM-Prinum",0.775381975995308,12,7,45,9,6
"T3Q-qwen2.5-14b-v1.0-e3",1.39915552951237,7,4,13,4,1
"T3Q-Qwen2.5-14B-Instruct-",1.48167655320037,6,2,10,3,1
"Qwen2.5-32B-Instruct-abli",0.183800425024284,44,11,73,12,9
"Gilgamesh-72B",1.39597093009358,8,4,12,4,1
"ultiima-72B",0.516295198704369,27,9,56,9,9
"zetasepic-abliteratedV2-Q",0.262519626615498,39,10,70,11,9
"Awqward2.5-32B-Instruct",0.31102249046251,37,9,65,10,9
"test-2.5-72B",1.88546839730095,4,1,8,1,1
"shuttle-3",0.856722523462873,10,6,41,6,6
"Qwen2.5-32B-Instruct",0.108764121425984,48,14,74,14,9
"Mistral-Large-Instruct-24",0.194271596554043,43,11,72,12,9
"Rombos-LLM-V2.5-Qwen-72b",0.548834900746269,22,9,54,9,7
"Linkbricks-Horizon-AI-Ave.1",0.058098132799751,50,15,76,17,10
"Qwen2.5-72B-Instruct-abli.1",0.501048811708041,28,9,56,9,9
"Linkbricks-Horizon-AI-Ave.2",0.0226764776635173,52,15,76,18,10
"lambda-qwen2.5-32b-dpo-te",-0.345797016488719,66,38,88,41,28
"Qwentile2.5-32B-Instruct",0.3687784813606,34,9,59,10,9
"Rombos-LLM-V2.5-Qwen-32b",0.707414476743341,14,9,48,9,6
"openbuddy-llama3.3-70b-v2",0.0476007948719483,51,16,76,18,10
"Linkbricks-Horizon-AI-Ave.3",0.222216824426058,41,11,71,12,9
