"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.724134386902746,17,4,51,4,3
"calme-3.1-instruct-78b",0.786467720309584,14,4,45,4,3
"CalmeRys-78B-Orpo-v0.1",1.01989926204383,9,3,38,3,2
"calme-2.4-rys-78b",0.699552772984835,18,4,51,4,3
"Qwen2.5-72B-Instruct-abli",1.73978266790997,3,1,11,1,1
"Qwen2.5-72B-Instruct",1.2097125968201,7,2,34,3,1
"calme-2.1-qwen2.5-72b",0.942803958945117,10,3,43,3,2
"Homer-v1.0-Qwen2.5-72B",0.376276773540154,32,7,74,9,4
"qwen2.5-test-32b-it",-0.612856518162173,80,42,99,43,23
"Linkbricks-Horizon-AI-Ave",-0.597481209984476,79,41,99,43,23
"calme-2.2-qwen2.5-72b",0.421644379796227,25,6,73,8,4
"FluentlyLM-Prinum",0.395002641898907,29,8,73,9,4
"T3Q-qwen2.5-14b-v1.0-e3",0.26033793048508,37,9,77,10,5
"T3Q-Qwen2.5-14B-Instruct-",0.303823042424822,35,9,77,9,5
"Qwen2.5-32B-Instruct-abli",0.383099276232178,30,8,74,9,4
"Gilgamesh-72B",1.45953216661066,4,2,19,2,1
"ultiima-72B",0.157872498774092,41,10,82,12,6
"zetasepic-abliteratedV2-Q",0.383099276232176,31,8,74,9,4
"Awqward2.5-32B-Instruct",-0.301319911834154,68,23,94,25,13
"test-2.5-72B",1.24815335772201,6,3,24,3,1
"shuttle-3",1.17113857631725,8,3,34,3,1
"Qwen2.5-32B-Instruct",-0.198576541064256,59,20,92,22,12
"Mistral-Large-Instruct-24",2.23669252875531,2,1,5,1,1
"Rombos-LLM-V2.5-Qwen-72b",-0.0893805526720097,52,18,87,19,10
"Linkbricks-Horizon-AI-Ave.1",-0.368082068291006,73,25,95,30,15
"Qwen2.5-72B-Instruct-abli.1",0.0543717116451603,45,12,84,13,9
"Linkbricks-Horizon-AI-Ave.2",-0.454047374098864,75,35,96,35,20
"lambda-qwen2.5-32b-dpo-te",-0.461329117261613,76,35,96,37,20
"Qwentile2.5-32B-Instruct",-0.484517686021066,77,35,97,38,20
"Rombos-LLM-V2.5-Qwen-32b",-0.290453091209714,67,22,95,25,13
"openbuddy-llama3.3-70b-v2",1.31623550347461,5,2,24,2,1
"Linkbricks-Horizon-AI-Ave.3",-1.32288051090894,96,78,100,78,54
"huihui-ai-abliterated-Qwe",-0.40671156257749,74,29,96,35,19
"Linkbricks-Horizon-AI-Ave.4",-0.998498168122596,89,56,100,65,41
"ultiima-32B",-0.855358220962864,85,48,99,53,37
"RYS-XLarge",0.0811076658864365,44,12,82,13,8
"Qwen2.5-95B-Instruct",0.575557413089828,20,5,63,5,3
"ultiima-72B-v1.5",-0.0661217189555883,51,15,88,18,9
"sky-t1-coder-32b-flash",-0.623792156103835,81,41,99,43,23
"Llama-3.3-70B-Instruct",0.406024960546266,28,5,77,6,4
