"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.79133647789649,2,1,7,1,1
"calme-3.1-instruct-78b",1.75048319178138,3,1,7,1,1
"CalmeRys-78B-Orpo-v0.1",1.86857910293935,1,1,6,1,1
"calme-2.4-rys-78b",1.59867842693837,4,1,9,1,1
"Qwen2.5-72B-Instruct-abli",0.394066323165599,30,10,61,10,8
"Qwen2.5-72B-Instruct",0.178948996658262,41,13,71,13,10
"calme-2.1-qwen2.5-72b",0.155835682047374,44,13,74,13,10
"Homer-v1.0-Qwen2.5-72B",0.852995087589388,10,5,37,5,4
"qwen2.5-test-32b-it",0.172709190566859,43,13,71,13,10
"Linkbricks-Horizon-AI-Ave",0.137679610422417,45,13,74,13,10
"calme-2.2-qwen2.5-72b",-0.107428686963703,58,20,78,29,13
"FluentlyLM-Prinum",0.57375667976295,17,8,54,8,6
"T3Q-qwen2.5-14b-v1.0-e3",1.17450443818263,7,2,14,3,1
"T3Q-Qwen2.5-14B-Instruct-",1.24930565126533,6,1,12,1,1
"Qwen2.5-32B-Instruct-abli",0.130097468841362,49,13,74,13,10
"Gilgamesh-72B",1.06820273513244,8,4,18,4,1
"ultiima-72B",0.608087946861897,14,7,54,8,5
"zetasepic-abliteratedV2-Q",0.133592257743408,47,13,74,13,10
"Awqward2.5-32B-Instruct",-0.115881519356642,59,20,78,27,13
"test-2.5-72B",1.35479299941363,5,1,11,1,1
"shuttle-3",0.610924653142459,13,7,53,8,5
"Qwen2.5-32B-Instruct",-0.189317829495581,62,32,79,36,19
"Mistral-Large-Instruct-24",1.05741012363979,9,4,19,4,1
"Rombos-LLM-V2.5-Qwen-72b",0.441975558057359,23,10,58,10,7
"Linkbricks-Horizon-AI-Ave.1",-0.238563414479722,63,36,83,38,20
"Qwen2.5-72B-Instruct-abli.1",0.579454209082042,15,8,54,8,6
"Linkbricks-Horizon-AI-Ave.2",-0.268819596108582,67,37,86,38,20
"lambda-qwen2.5-32b-dpo-te",-0.364370311778473,71,40,91,45,32
"Qwentile2.5-32B-Instruct",0.405378942713468,29,10,60,10,8
"Rombos-LLM-V2.5-Qwen-32b",0.76201118224543,12,6,38,6,5
"openbuddy-llama3.3-70b-v2",0.840650344640598,11,5,37,5,4
"Linkbricks-Horizon-AI-Ave.3",0.0112875420584415,56,19,74,19,13
