"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.060092759461051,38,8,95,9,6
"calme-3.1-instruct-78b",-0.00489859819151572,41,10,97,14,6
"CalmeRys-78B-Orpo-v0.1",0.240705234584858,26,6,75,6,5
"calme-2.4-rys-78b",0.0886555291695204,34,8,91,8,5
"Qwen2.5-72B-Instruct-abli",1.92252592688575,1,1,2,1,1
"Qwen2.5-72B-Instruct",1.46685224620876,2,1,6,1,1
"calme-2.1-qwen2.5-72b",1.14228058026295,4,2,14,2,1
"Homer-v1.0-Qwen2.5-72B",0.170955756511615,31,7,84,8,5
"qwen2.5-test-32b-it",0.258044481365539,25,6,73,6,5
"Linkbricks-Horizon-AI-Ave",0.367998859352983,22,5,67,5,3
"calme-2.2-qwen2.5-72b",0.781240360109851,7,3,29,3,2
"FluentlyLM-Prinum",0.567178417421943,11,3,45,4,3
"T3Q-qwen2.5-14b-v1.0-e3",-0.499174204561172,89,32,100,35,24
"T3Q-Qwen2.5-14B-Instruct-",-0.467758008327798,85,32,100,32,23
"Qwen2.5-32B-Instruct-abli",0.885967944712315,5,2,23,2,2
"Gilgamesh-72B",0.632533480401507,8,3,38,3,2
"ultiima-72B",0.225781438174243,29,6,76,7,5
"zetasepic-abliteratedV2-Q",0.799381823804519,6,3,29,3,2
"Awqward2.5-32B-Instruct",0.529874592606085,14,3,51,5,3
"test-2.5-72B",0.445610357954363,17,5,54,5,3
"shuttle-3",0.551397767994309,12,3,48,5,3
"Qwen2.5-32B-Instruct",0.615458669644426,9,3,38,3,2
"Mistral-Large-Instruct-24",1.17276311108454,3,2,13,2,1
"Rombos-LLM-V2.5-Qwen-72b",0.234857406434126,27,6,76,6,5
"Linkbricks-Horizon-AI-Ave.1",0.433612368490004,18,5,58,5,3
"Qwen2.5-72B-Instruct-abli.1",0.092414811805452,33,8,90,8,5
"Linkbricks-Horizon-AI-Ave.2",0.370670680722839,21,5,67,5,3
"lambda-qwen2.5-32b-dpo-te",0.433434466038549,19,5,55,5,3
"Qwentile2.5-32B-Instruct",-0.190911676445182,60,21,99,23,10
"Rombos-LLM-V2.5-Qwen-32b",-0.163665758006552,56,17,99,21,8
"openbuddy-llama3.3-70b-v2",0.549994560105338,13,3,47,5,3
"Linkbricks-Horizon-AI-Ave.3",-0.410437046842826,80,31,100,32,21
"huihui-ai-abliterated-Qwe",0.233987183864082,28,6,75,7,5
"Linkbricks-Horizon-AI-Ave.4",-0.407408371148766,78,30,100,32,21
"ultiima-32B",-0.4295809236785,83,31,100,32,21
"RYS-XLarge",-0.154983984649846,55,21,98,21,8
"Qwen2.5-95B-Instruct",0.490219959140552,15,5,51,5,3
