"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.629128877610925,16,2,33,3,1
"calme-3.1-instruct-78b",0.544743410602389,21,3,36,3,2
"CalmeRys-78B-Orpo-v0.1",0.744349844607112,9,2,31,2,1
"calme-2.4-rys-78b",0.615644846083986,18,3,33,3,2
"Qwen2.5-72B-Instruct-abli",1.3473889735444,1,1,5,1,1
"Qwen2.5-72B-Instruct",1.16304017809184,2,1,16,1,1
"calme-2.1-qwen2.5-72b",0.90543163320268,4,1,27,1,1
"Homer-v1.0-Qwen2.5-72B",0.668085376319311,11,2,32,2,1
"qwen2.5-test-32b-it",0.473649482932927,23,3,46,3,2
"Linkbricks-Horizon-AI-Ave",0.584448064614675,20,3,34,3,2
"calme-2.2-qwen2.5-72b",0.650433633624155,14,2,33,3,1
"FluentlyLM-Prinum",0.797483198660583,6,1,29,2,1
"T3Q-qwen2.5-14b-v1.0-e3",0.0333332967495084,37,21,89,22,11
"T3Q-Qwen2.5-14B-Instruct-",0.0723626406552431,35,20,86,21,10
"Qwen2.5-32B-Instruct-abli",0.758120329880144,8,2,31,2,1
"Gilgamesh-72B",0.816140253024638,5,1,28,2,1
"ultiima-72B",0.602719129297374,19,3,34,3,2
"zetasepic-abliteratedV2-Q",0.78828791248972,7,2,29,2,1
"Awqward2.5-32B-Instruct",0.65463834284262,13,2,33,2,1
"test-2.5-72B",0.705537875800953,10,2,32,2,1
"shuttle-3",0.649435772201884,15,2,33,3,1
"Qwen2.5-32B-Instruct",0.623324405774543,17,2,33,3,2
"Mistral-Large-Instruct-24",0.933800433882974,3,1,27,1,1
"Rombos-LLM-V2.5-Qwen-72b",0.656742937823278,12,2,33,2,1
"Linkbricks-Horizon-AI-Ave.1",0.478143852573837,22,3,46,3,2
"Qwen2.5-72B-Instruct-abli.1",0.453024939021576,26,3,46,3,3
"Linkbricks-Horizon-AI-Ave.2",0.459923519987361,24,3,46,3,3
"lambda-qwen2.5-32b-dpo-te",0.454672000645006,25,3,46,3,3
"Qwentile2.5-32B-Instruct",0.253049106906644,31,8,61,10,4
"Rombos-LLM-V2.5-Qwen-32b",0.313732497600612,28,5,56,6,3
"openbuddy-llama3.3-70b-v2",0.222794123834531,32,10,62,11,5
"Linkbricks-Horizon-AI-Ave.3",-0.0131963748478983,43,22,93,22,15
"huihui-ai-abliterated-Qwe",0.435534216276379,27,3,48,4,3
"Linkbricks-Horizon-AI-Ave.4",-0.01741976774901,45,22,93,25,16
"ultiima-32B",0.108068352433037,34,16,78,21,8
"RYS-XLarge",-0.243185120878956,61,31,99,33,28
"Qwen2.5-95B-Instruct",0.00667044903552183,41,22,90,23,11
"ultiima-72B-v1.5",0.295565816174483,29,5,56,8,3
"sky-t1-coder-32b-flash",0.277332461594519,30,7,57,9,3
"Llama-3.3-70B-Instruct",-0.16799539858999,53,28,98,29,22
"RomboUltima-32B",-0.0190782396737297,46,22,93,27,16
"calme-2.1-rys-78b",-0.114602681689658,50,28,95,28,21
"calme-2.3-rys-78b",0.0330700272573736,38,22,86,22,11
"calme-2.1-qwen2-72b",-0.183873190656091,55,28,98,31,23
"calme-2.2-rys-78b",-0.0966567824552316,49,28,95,28,21
"MG-FinalMix-72B",-0.350149582696366,70,33,100,34,29
"EVA-Qwen2.5-72B-v0.2",0.139952388914019,33,12,72,18,6
"Qwen2-72B-Orpo-v0.1",-0.413300137480925,78,35,100,37,32
"RYS-XLarge-base",-0.639594367632105,96,52,100,54,37
"calme-2.2-qwen2-72b",-0.239269427043599,59,31,98,32,28
"Arcee-Nova",-0.225995531337486,57,31,98,32,28
"L3.3-MS-Nevoria-70b",-0.179177799579147,54,28,98,30,22
"Set-70b",-0.241906640508176,60,31,99,32,28
"QwentileSwap",-0.0701950066830745,47,27,93,28,20
"li-14b-v0.4",-0.386225704909444,74,34,100,35,31
"tempmotacilla-cinerea-030",-0.126573599084272,51,28,97,28,22
"L3.3-Nevoria-R1-70b",-0.0707918455915619,48,27,93,28,20
"Qwen2-72B-Instruct",-0.455803816861245,85,36,100,41,33
"Galactic-Qwen-14B-Exp2",-0.446197332135835,83,35,100,37,33
"BigQwen2.5-52B-Instruct",-0.317074772864199,63,33,100,33,28
"Llama-3.1-SauerkrautLM-70",-0.471954010443017,87,37,100,42,33
"Llama-3.1-70B-Instruct",-0.335663287133153,66,33,100,34,28
"Dracarys-72B-Instruct",-0.435400595266467,79,36,100,37,32
"Linkbricks-Horizon-AI-Ave.5",-0.00211613731733706,42,22,93,24,12
"Lamarckvergence-14B",-0.439301581310398,81,36,100,40,32
"Lix-14B-v0.1",-0.3893608435515,75,34,100,35,31
"calme-2.2-llama3.1-70b",-0.318596320038974,64,33,100,33,28
"NQLSG-Qwen2.5-14B-MegaFus",-0.385778600734572,73,34,100,35,31
"calme-2.3-llama3.1-70b",-0.407230412355923,76,35,100,36,31
"NQLSG-Qwen2.5-14B-MegaFus.1",-0.643815432432817,97,52,100,54,40
"orca_mini_v8_1_70b",-0.0133357980281112,44,22,93,24,16
"Apollo-70B",0.05190430304993,36,21,86,22,10
"ZYH-LLM-Qwen2.5-14B-V4",-0.359496544522877,71,33,100,34,29
"NQLSG-Qwen2.5-14B-MegaFus.2",-0.599088228246229,94,50,100,52,36
"Progenitor-V1.1-LLaMa-70B",-0.349759577517158,69,33,100,34,29
"70B-L3.3-Cirrus-x1",-0.520520393533051,93,42,100,47,33
"magnum-v1-72b",-0.444507190150277,82,36,100,40,33
"magnum-72b-v1",-0.438542958765688,80,36,100,41,32
"lamarckvergence-14b-tenso",-0.793499126617555,100,62,100,63,50
"li-14b-v0.4-slerp0.1",-0.486044864831921,89,41,100,45,33
"miscii-14b-0218",-0.343872225108337,67,33,100,34,28
"Cheng-2",-0.192075172216752,56,28,98,30,24
"NQLSG-Qwen2.5-14B-MegaFus.3",-0.673973728126101,98,53,100,57,42
"Llama3.3-70B-CogniLink",-0.517541560849893,92,41,100,47,33
"tempesthenno-ppo-ckpt40",-0.411225737044369,77,35,100,36,32
"RYS-Llama3.1-Large",-0.373648177603392,72,33,100,35,30
"virtuoso-small-v2-tensopo",-0.450019082095267,84,36,100,41,33
"Cheng-2-v1.1",-0.32910341520137,65,33,100,34,28
"RombosBeagle-v2beta-MGS-3",0.020069936377122,40,22,91,22,11
"TheBeagle-v2beta-32B-MGS",0.0303793924991211,39,21,89,22,11
"lambda-qwen2.5-14b-dpo-te",-0.144027431116882,52,28,97,28,22
"tempesthenno-nuslerp-001",-0.481732565775216,88,40,100,47,33
"Qwen2.5-14B-1M-YOYO-V3",-0.344591979490485,68,33,100,34,28
"Josiefied-Qwen2.5-14B-Ins",-0.276915835618389,62,32,100,33,28
"NQLSG-Qwen2.5-14B-MegaFus.4",-0.758768301996446,99,62,100,63,49
"Q2.5-Veltha-14B",-0.23852999557292,58,31,98,32,28
"ECE-ILAB-Q1",-0.494308765024238,90,42,100,47,33
"Virtuoso-Small-v2",-0.508700271193061,91,43,100,47,33
"Qwen2.5-14B-YOYO-V4-p1",-0.456338549633504,86,36,100,41,33
"Chocolatine-14B-Instruct-",-0.60451041708728,95,49,100,52,36
