"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.858681753340998,3,1,32,1,1
"calme-3.1-instruct-78b",0.816445237659359,5,1,33,1,1
"CalmeRys-78B-Orpo-v0.1",0.96209067192723,1,1,22,1,1
"calme-2.4-rys-78b",0.778843958782444,8,1,34,1,1
"Qwen2.5-72B-Instruct-abli",0.579421165128782,18,1,42,1,1
"Qwen2.5-72B-Instruct",0.594025400908627,17,1,42,1,1
"calme-2.1-qwen2.5-72b",0.674881165384976,12,1,35,1,1
"Homer-v1.0-Qwen2.5-72B",0.343315852342013,32,3,56,5,1
"qwen2.5-test-32b-it",0.810749178988794,6,1,33,1,1
"Linkbricks-Horizon-AI-Ave",0.905978067191198,2,1,27,1,1
"calme-2.2-qwen2.5-72b",0.430235084029519,23,2,53,2,1
"FluentlyLM-Prinum",0.6902851231712,10,1,35,1,1
"T3Q-qwen2.5-14b-v1.0-e3",0.111165279061237,40,15,76,19,8
"T3Q-Qwen2.5-14B-Instruct-",0.152196675739101,38,14,73,14,5
"Qwen2.5-32B-Instruct-abli",0.676659805341995,11,1,38,1,1
"Gilgamesh-72B",0.673201356158752,13,1,37,1,1
"ultiima-72B",0.29813734710164,33,5,59,7,1
"zetasepic-abliteratedV2-Q",0.62708766496684,14,1,39,1,1
"Awqward2.5-32B-Instruct",0.780097187468348,7,1,34,1,1
"test-2.5-72B",0.85439974084112,4,1,32,1,1
"shuttle-3",0.0642469984218068,43,19,78,20,10
"Qwen2.5-32B-Instruct",0.745884494789332,9,1,34,1,1
"Mistral-Large-Instruct-24",0.437946568055917,22,2,52,2,1
"Rombos-LLM-V2.5-Qwen-72b",0.429571837441788,24,1,53,2,1
"Linkbricks-Horizon-AI-Ave.1",0.618324336869343,16,1,41,1,1
"Qwen2.5-72B-Instruct-abli.1",0.283632695573382,34,7,59,9,1
"Linkbricks-Horizon-AI-Ave.2",0.623608905998812,15,1,41,1,1
"lambda-qwen2.5-32b-dpo-te",0.362672334856044,31,3,55,5,1
"Qwentile2.5-32B-Instruct",0.419280662360852,25,2,54,2,1
"Rombos-LLM-V2.5-Qwen-32b",0.497314291031173,20,1,49,1,1
"openbuddy-llama3.3-70b-v2",0.1435539583479,39,14,74,17,6
"Linkbricks-Horizon-AI-Ave.3",0.564440778791029,19,1,45,1,1
"huihui-ai-abliterated-Qwe",0.402034145266843,26,2,54,3,1
"Linkbricks-Horizon-AI-Ave.4",0.39242921837721,28,2,54,3,1
"ultiima-32B",0.461187748505182,21,1,51,2,1
"RYS-XLarge",0.0975435557645015,42,17,76,20,9
"Qwen2.5-95B-Instruct",-0.147398838985489,56,31,93,33,20
"ultiima-72B-v1.5",0.0501835986224606,46,19,80,20,10
"sky-t1-coder-32b-flash",-0.0348111198522227,51,21,83,22,14
"Llama-3.3-70B-Instruct",0.17582949731929,36,10,69,14,5
"RomboUltima-32B",0.37197180924582,30,3,54,5,1
"calme-2.1-rys-78b",-0.127588721364537,55,31,90,33,20
"calme-2.3-rys-78b",-0.327458282435329,69,36,100,40,33
"calme-2.1-qwen2-72b",0.0580804128765968,44,20,78,20,10
"calme-2.2-rys-78b",-0.506186060031505,83,50,100,52,38
"MG-FinalMix-72B",-0.0944357677467016,54,26,87,32,19
"EVA-Qwen2.5-72B-v0.2",0.0251302780156624,47,20,82,21,11
"Qwen2-72B-Orpo-v0.1",-0.164008262055531,57,33,94,33,21
