"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.48514503172202,7,1,26,1,1
"calme-3.1-instruct-78b",1.66652054528662,4,1,22,1,1
"CalmeRys-78B-Orpo-v0.1",1.76991470259914,3,1,17,1,1
"calme-2.4-rys-78b",1.26950909404244,8,1,28,1,1
"Qwen2.5-72B-Instruct-abli",1.22423336106865,9,1,29,1,1
"Qwen2.5-72B-Instruct",1.53852506593747,5,1,25,1,1
"calme-2.1-qwen2.5-72b",1.53717184132099,6,1,25,1,1
"Homer-v1.0-Qwen2.5-72B",0.663796534151636,26,5,56,8,3
"qwen2.5-test-32b-it",0.34727228424808,32,10,68,14,8
"Linkbricks-Horizon-AI-Ave",0.563575492972556,27,8,59,8,4
"calme-2.2-qwen2.5-72b",1.14336778003342,10,1,33,1,1
"FluentlyLM-Prinum",0.975413256752574,14,3,42,3,1
"T3Q-qwen2.5-14b-v1.0-e3",0.299151589571636,36,10,75,14,8
"T3Q-Qwen2.5-14B-Instruct-",0.341263074921758,34,10,72,13,8
"Qwen2.5-32B-Instruct-abli",0.932208492633793,17,3,45,4,1
"Gilgamesh-72B",1.93575016017461,2,1,13,1,1
"ultiima-72B",0.278270318817578,37,11,76,14,8
"zetasepic-abliteratedV2-Q",1.10978234394203,13,1,35,2,1
"Awqward2.5-32B-Instruct",1.13085730388817,12,1,35,1,1
"test-2.5-72B",1.97111071093292,1,1,13,1,1
"shuttle-3",0.785237196245069,24,5,56,5,1
"Qwen2.5-32B-Instruct",1.13453460239852,11,1,35,1,1
"Mistral-Large-Instruct-24",0.95453454624551,16,3,42,4,1
"Rombos-LLM-V2.5-Qwen-72b",0.419972534273161,29,8,67,10,5
"Linkbricks-Horizon-AI-Ave.1",0.843930657521934,21,4,52,5,1
"Qwen2.5-72B-Instruct-abli.1",0.214758892064756,42,14,78,14,8
"Linkbricks-Horizon-AI-Ave.2",0.860798597512151,20,4,51,5,1
"lambda-qwen2.5-32b-dpo-te",0.402164782717857,30,10,66,10,7
"Qwentile2.5-32B-Instruct",0.34362772403979,33,10,73,13,8
"Rombos-LLM-V2.5-Qwen-32b",0.24868354836264,39,13,77,14,8
"openbuddy-llama3.3-70b-v2",-0.346529727171825,65,29,91,31,26
"Linkbricks-Horizon-AI-Ave.3",0.0495409984955901,50,20,81,24,11
"huihui-ai-abliterated-Qwe",0.973945994136404,15,3,42,3,1
"Linkbricks-Horizon-AI-Ave.4",0.118007547327734,46,17,81,20,10
"ultiima-32B",0.22976031640259,41,14,77,14,8
"RYS-XLarge",-0.376091987942581,66,31,91,35,26
"Qwen2.5-95B-Instruct",0.140058991142448,44,16,79,19,9
"ultiima-72B-v1.5",0.250413180965001,38,11,77,14,8
"sky-t1-coder-32b-flash",0.243052155458505,40,14,76,14,8
"Llama-3.3-70B-Instruct",0.892508156228241,18,3,51,4,1
"RomboUltima-32B",-0.187726547560858,57,27,89,27,18
"calme-2.1-rys-78b",0.0962788379249173,47,18,80,22,10
"calme-2.3-rys-78b",0.00918384320737209,54,25,81,26,14
"calme-2.1-qwen2-72b",0.00709736369694536,55,23,82,26,14
"calme-2.2-rys-78b",-0.547452023180223,74,42,96,43,28
"MG-FinalMix-72B",-0.285375914757655,60,29,89,29,24
"EVA-Qwen2.5-72B-v0.2",0.0372694458233749,52,19,82,23,13
"Qwen2-72B-Orpo-v0.1",-0.519147326345649,73,38,96,43,27
"RYS-XLarge-base",-0.549918006379153,75,41,96,43,28
"calme-2.2-qwen2-72b",-0.305516287430082,64,29,89,31,25
"Arcee-Nova",-0.489688365293262,70,37,95,42,27
"L3.3-MS-Nevoria-70b",-0.912197752989387,83,57,98,57,41
"Set-70b",-0.736295464709617,80,50,98,55,31
"QwentileSwap",0.50788106912012,28,8,65,8,5
"li-14b-v0.4",-0.747476558613036,81,49,98,53,31
"tempmotacilla-cinerea-030",-0.62114795489527,77,43,98,46,29
"L3.3-Nevoria-R1-70b",-1.28134246956926,92,67,98,71,57
"Qwen2-72B-Instruct",-0.512360703368953,72,38,96,43,27
"Galactic-Qwen-14B-Exp2",-0.448256229245442,68,31,96,35,27
"BigQwen2.5-52B-Instruct",-0.299242817951223,63,29,89,30,24
"Llama-3.1-SauerkrautLM-70",0.822229941052838,22,4,56,5,1
"Llama-3.1-70B-Instruct",0.801606969337366,23,4,56,5,1
"Dracarys-72B-Instruct",-0.575689743325714,76,43,96,44,28
"Linkbricks-Horizon-AI-Ave.5",0.329774255845049,35,11,70,14,8
"Lamarckvergence-14B",-1.29791025217639,94,69,98,73,57
"Lix-14B-v0.1",-1.07110675449812,88,60,98,65,47
"calme-2.2-llama3.1-70b",0.867657994192437,19,4,51,4,1
"NQLSG-Qwen2.5-14B-MegaFus",-0.856729959606075,82,57,98,57,37
"calme-2.3-llama3.1-70b",0.778991315368982,25,5,56,5,1
"NQLSG-Qwen2.5-14B-MegaFus.1",-1.18369921692684,90,66,98,67,54
"orca_mini_v8_1_70b",0.152567602786596,43,14,81,17,9
"Apollo-70B",-2.52793261752705,100,97,100,99,82
"ZYH-LLM-Qwen2.5-14B-V4",-0.00225386616540257,56,23,82,26,14
"NQLSG-Qwen2.5-14B-MegaFus.2",-1.2891719678228,93,67,98,70,57
"Progenitor-V1.1-LLaMa-70B",-1.05642112132221,87,60,98,61,46
"70B-L3.3-Cirrus-x1",-1.56275141683667,98,78,100,80,60
"magnum-v1-72b",-0.672753822159072,78,47,98,50,29
"magnum-72b-v1",-0.697260669960233,79,48,98,52,29
"lamarckvergence-14b-tenso",-1.52154642356626,97,78,100,79,60
"li-14b-v0.4-slerp0.1",-0.970164710570732,85,57,98,60,43
"miscii-14b-0218",-1.22397503992077,91,67,98,68,57
"Cheng-2",-0.197575737946568,58,27,89,27,19
"NQLSG-Qwen2.5-14B-MegaFus.3",-1.35804895984107,95,71,100,76,57
"Llama3.3-70B-CogniLink",-2.50347867177821,99,97,100,97,82
"tempesthenno-ppo-ckpt40",-0.970164710570731,84,57,98,60,43
"RYS-Llama3.1-Large",0.365208069354249,31,9,71,10,8
"virtuoso-small-v2-tensopo",0.0211673025477408,53,21,82,25,14
"Cheng-2-v1.1",-0.297051527948666,62,28,91,29,24
"RombosBeagle-v2beta-MGS-3",0.0793161215141502,49,17,81,19,10
"TheBeagle-v2beta-32B-MGS",0.135824406586809,45,14,81,18,9
"lambda-qwen2.5-14b-dpo-te",-0.482053781510134,69,31,96,36,27
"tempesthenno-nuslerp-001",-1.00616993717541,86,58,98,60,43
"Qwen2.5-14B-1M-YOYO-V3",0.0480080648783696,51,20,81,24,11
"Josiefied-Qwen2.5-14B-Ins",-0.294832585946651,61,28,91,29,24
"NQLSG-Qwen2.5-14B-MegaFus.4",-1.08503435493024,89,60,98,65,47
"Q2.5-Veltha-14B",0.0875011643432311,48,18,81,22,10
"ECE-ILAB-Q1",-0.444787508171287,67,36,94,37,27
"Virtuoso-Small-v2",-0.220073206735733,59,27,89,28,20
"Qwen2.5-14B-YOYO-V4-p1",-0.503522367648837,71,34,96,38,27
"Chocolatine-14B-Instruct-",-1.39800610414517,96,74,100,77,57
