"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",-0.00276631425361584,51,11,91,14,6
"calme-3.1-instruct-78b",-0.288931446913546,71,22,95,24,13
"CalmeRys-78B-Orpo-v0.1",0.0140316118070927,48,10,91,14,6
"calme-2.4-rys-78b",0.0751102964401662,44,8,91,9,4
"Qwen2.5-72B-Instruct-abli",1.70600793865802,2,1,7,1,1
"Qwen2.5-72B-Instruct",1.05406294952415,5,2,32,2,1
"calme-2.1-qwen2.5-72b",0.604801519754311,17,3,61,3,2
"Homer-v1.0-Qwen2.5-72B",0.771779166238216,9,3,46,3,2
"qwen2.5-test-32b-it",0.734550660889583,11,3,52,3,2
"Linkbricks-Horizon-AI-Ave",0.724791234889306,12,3,52,3,2
"calme-2.2-qwen2.5-72b",0.405628480660509,24,3,80,3,3
"FluentlyLM-Prinum",0.703838676036998,13,3,52,3,2
"T3Q-qwen2.5-14b-v1.0-e3",-0.102653838276829,59,15,93,18,8
"T3Q-Qwen2.5-14B-Instruct-",-0.0662861941059583,54,14,93,16,8
"Qwen2.5-32B-Instruct-abli",0.755735017545049,10,3,51,3,2
"Gilgamesh-72B",0.0211585585737777,47,10,91,13,6
"ultiima-72B",1.13047733981638,3,2,26,2,1
"zetasepic-abliteratedV2-Q",0.681180964599015,14,3,56,3,2
"Awqward2.5-32B-Instruct",0.434392063075622,23,3,79,3,3
"test-2.5-72B",-0.187819525494339,65,18,93,21,9
"shuttle-3",0.522409787921945,18,3,68,3,3
"Qwen2.5-32B-Instruct",0.375196096970559,26,3,83,3,3
"Mistral-Large-Instruct-24",0.958285788526366,7,2,36,2,2
"Rombos-LLM-V2.5-Qwen-72b",1.08318451757717,4,2,27,2,1
"Linkbricks-Horizon-AI-Ave.1",0.331439783912475,27,3,84,4,3
"Qwen2.5-72B-Instruct-abli.1",0.832693369740386,8,3,43,3,2
"Linkbricks-Horizon-AI-Ave.2",0.292476048682607,30,3,84,6,3
"lambda-qwen2.5-32b-dpo-te",0.611660402705302,16,3,63,3,2
"Qwentile2.5-32B-Instruct",0.284802433706553,31,6,83,6,3
"Rombos-LLM-V2.5-Qwen-32b",0.513683967753871,20,3,67,3,3
"openbuddy-llama3.3-70b-v2",0.642830729414038,15,3,60,3,2
"Linkbricks-Horizon-AI-Ave.3",0.0101381650330312,49,11,91,14,6
"huihui-ai-abliterated-Qwe",0.13269876868816,40,8,91,8,3
"Linkbricks-Horizon-AI-Ave.4",-0.103803891615174,60,16,93,18,8
"ultiima-32B",0.116637056311893,42,8,90,9,3
"RYS-XLarge",-0.229234153803153,68,21,94,23,9
"Qwen2.5-95B-Instruct",-0.0509245744348776,53,14,93,16,7
"ultiima-72B-v1.5",0.459114083841166,22,3,71,3,3
"sky-t1-coder-32b-flash",0.37906408544186,25,3,79,4,3
"Llama-3.3-70B-Instruct",-1.22792733630506,96,84,100,85,62
"RomboUltima-32B",0.257714339364284,34,6,84,8,3
"calme-2.1-rys-78b",-0.353666177697509,75,25,95,28,15
"calme-2.3-rys-78b",-0.0168977936139014,52,11,92,15,6
"calme-2.1-qwen2-72b",-0.416393934783399,83,29,95,34,18
"calme-2.2-rys-78b",0.169872995480989,37,8,85,8,3
"MG-FinalMix-72B",-0.472069974255148,84,32,96,35,18
"EVA-Qwen2.5-72B-v0.2",0.328634539946334,28,4,83,6,3
"Qwen2-72B-Orpo-v0.1",-0.392790280260566,81,27,95,30,16
"RYS-XLarge-base",-0.791323079034871,92,53,98,56,35
"calme-2.2-qwen2-72b",-0.301486501618225,73,24,95,27,14
"Arcee-Nova",-0.0991411218197911,58,15,93,18,8
"L3.3-MS-Nevoria-70b",0.478631742506843,21,3,74,3,3
"Set-70b",0.161772771039886,38,8,85,8,3
"QwentileSwap",-0.624419420494932,89,43,96,46,25
"li-14b-v0.4",-0.0953468169744407,57,15,93,18,8
"tempmotacilla-cinerea-030",0.301082764188658,29,5,83,6,3
"L3.3-Nevoria-R1-70b",0.985564846291877,6,2,36,2,2
"Qwen2-72B-Instruct",-0.545436157871596,85,37,96,40,22
"Galactic-Qwen-14B-Exp2",-0.369378924357097,79,25,95,27,16
"BigQwen2.5-52B-Instruct",-0.35463945832849,76,25,95,27,15
"Llama-3.1-SauerkrautLM-70",-2.21895359189033,100,97,100,97,93
"Llama-3.1-70B-Instruct",-1.61615031425666,97,92,100,94,84
"Dracarys-72B-Instruct",-0.38238629346212,80,27,95,29,16
"Linkbricks-Horizon-AI-Ave.5",-0.151468312959842,63,15,94,18,8
"Lamarckvergence-14B",0.149563800812829,39,8,88,8,3
"Lix-14B-v0.1",0.0511169617853953,46,9,91,11,5
"calme-2.2-llama3.1-70b",-1.70571836261242,98,94,100,94,85
"NQLSG-Qwen2.5-14B-MegaFus",-0.0783125180536808,55,15,93,16,8
"calme-2.3-llama3.1-70b",-1.86983271540368,99,94,100,96,86
"NQLSG-Qwen2.5-14B-MegaFus.1",-0.357528281348012,77,25,95,29,15
"orca_mini_v8_1_70b",-9.41901759023978e-05,50,9,92,13,6
"Apollo-70B",2.33567322703668,1,1,2,1,1
"ZYH-LLM-Qwen2.5-14B-V4",-0.629291007211958,90,40,96,44,25
"NQLSG-Qwen2.5-14B-MegaFus.2",-0.148282284794887,62,18,93,18,8
"Progenitor-V1.1-LLaMa-70B",0.278135237112602,32,4,84,6,3
"70B-L3.3-Cirrus-x1",0.214531578355397,36,6,85,8,3
"magnum-v1-72b",-0.30981057791737,74,24,95,27,14
"magnum-72b-v1",-0.273770641434173,70,22,95,24,12
"lamarckvergence-14b-tenso",-0.358445759246171,78,25,95,29,15
"li-14b-v0.4-slerp0.1",-0.251627185182548,69,22,95,24,11
"miscii-14b-0218",0.220706272179729,35,7,84,8,3
"Cheng-2",-0.0931547769628147,56,15,93,18,8
"NQLSG-Qwen2.5-14B-MegaFus.3",-0.203607744014426,67,18,95,21,9
"Llama3.3-70B-CogniLink",0.515800751881939,19,3,68,3,3
"tempesthenno-ppo-ckpt40",-0.125286630284527,61,17,93,18,8
"RYS-Llama3.1-Large",-1.03814034590201,95,69,99,72,47
"virtuoso-small-v2-tensopo",-1.00373532242153,94,69,99,72,46
"Cheng-2-v1.1",-0.300776614263363,72,23,95,26,13
"RombosBeagle-v2beta-MGS-3",0.116637056311895,41,8,90,9,3
"TheBeagle-v2beta-32B-MGS",0.070695693733303,45,9,91,10,4
"lambda-qwen2.5-14b-dpo-te",0.263123164711166,33,6,84,7,3
"tempesthenno-nuslerp-001",-0.197878283409818,66,18,93,21,9
"Qwen2.5-14B-1M-YOYO-V3",-0.670111989202328,91,43,96,47,27
"Josiefied-Qwen2.5-14B-Ins",-0.178481621493891,64,18,93,20,9
"NQLSG-Qwen2.5-14B-MegaFus.4",-0.618238837160117,87,40,96,46,25
"Q2.5-Veltha-14B",-0.61620877656963,86,43,96,45,25
"ECE-ILAB-Q1",-0.620290018541773,88,41,96,46,25
"Virtuoso-Small-v2",-0.834878052303107,93,56,98,62,37
"Qwen2.5-14B-YOYO-V4-p1",-0.40756147571751,82,29,95,33,18
"Chocolatine-14B-Instruct-",0.090240133033721,43,8,91,8,4
