"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.847695069095403,12,2,45,2,1
"calme-3.1-instruct-78b",0.605409034601174,25,4,48,4,2
"CalmeRys-78B-Orpo-v0.1",0.822826785041243,14,2,45,3,1
"calme-2.4-rys-78b",0.86268036004622,11,2,44,2,1
"Qwen2.5-72B-Instruct-abli",1.10152187596771,6,1,33,1,1
"Qwen2.5-72B-Instruct",0.818462402259852,15,2,45,3,1
"calme-2.1-qwen2.5-72b",0.480190007506028,33,5,53,7,4
"Homer-v1.0-Qwen2.5-72B",1.38565270658783,3,1,18,1,1
"qwen2.5-test-32b-it",0.834930876946935,13,2,45,3,1
"Linkbricks-Horizon-AI-Ave",0.879922103414666,9,1,44,2,1
"calme-2.2-qwen2.5-72b",0.332338137018014,42,9,62,9,4
"FluentlyLM-Prinum",0.974365851147037,8,1,40,1,1
"T3Q-qwen2.5-14b-v1.0-e3",0.490468043207518,32,5,53,7,4
"T3Q-Qwen2.5-14B-Instruct-",0.538864584069368,30,4,52,5,3
"Qwen2.5-32B-Instruct-abli",0.598239980088872,27,4,48,4,2
"Gilgamesh-72B",0.458446303660669,34,7,53,8,4
"ultiima-72B",1.47042013284004,2,1,15,1,1
"zetasepic-abliteratedV2-Q",0.656366333895013,23,4,47,4,2
"Awqward2.5-32B-Instruct",0.566550803670854,29,4,51,4,3
"test-2.5-72B",0.364891610225988,38,8,58,9,4
"shuttle-3",0.654769605607024,24,4,47,4,2
"Qwen2.5-32B-Instruct",0.41272055739304,35,8,58,8,4
"Mistral-Large-Instruct-24",0.773730299853019,16,3,46,3,1
"Rombos-LLM-V2.5-Qwen-72b",1.54369992030992,1,1,9,1,1
"Linkbricks-Horizon-AI-Ave.1",0.364088791018779,39,8,58,9,4
"Qwen2.5-72B-Instruct-abli.1",1.15281973718078,4,1,31,1,1
"Linkbricks-Horizon-AI-Ave.2",0.368875679370321,37,8,59,9,4
"lambda-qwen2.5-32b-dpo-te",0.53649467376521,31,4,52,5,3
"Qwentile2.5-32B-Instruct",0.750337354221929,17,3,46,4,1
"Rombos-LLM-V2.5-Qwen-32b",1.05746965522311,7,1,34,1,1
"openbuddy-llama3.3-70b-v2",0.221902494619536,45,11,68,16,8
"Linkbricks-Horizon-AI-Ave.3",0.377932912577565,36,8,58,9,4
"huihui-ai-abliterated-Qwe",0.354672919086339,40,8,62,9,4
"Linkbricks-Horizon-AI-Ave.4",0.276710293843117,44,9,62,12,6
"ultiima-32B",0.724649624220965,19,4,47,4,1
"RYS-XLarge",-0.360845301294619,63,45,92,46,34
"Qwen2.5-95B-Instruct",-0.507789814358733,72,47,94,48,43
"ultiima-72B-v1.5",1.11530133490632,5,1,33,1,1
"sky-t1-coder-32b-flash",0.660288364891421,22,4,47,4,2
"Llama-3.3-70B-Instruct",-1.1371927181824,93,70,100,75,59
"RomboUltima-32B",0.588584324080804,28,4,48,4,3
"calme-2.1-rys-78b",-0.418373046700188,67,46,92,46,36
