"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.24470196873985,2,1,23,1,1
"calme-3.1-instruct-78b",1.0098388052931,12,1,27,1,1
"CalmeRys-78B-Orpo-v0.1",1.18424667409737,4,1,23,1,1
"calme-2.4-rys-78b",1.20369741974357,3,1,23,1,1
"Qwen2.5-72B-Instruct-abli",0.375538033125427,32,16,57,17,8
"Qwen2.5-72B-Instruct",0.115197372640225,43,24,66,24,18
"calme-2.1-qwen2.5-72b",0.0145990866703389,47,28,72,28,22
"Homer-v1.0-Qwen2.5-72B",1.09931359458124,8,1,27,1,1
"qwen2.5-test-32b-it",0.798088717181274,20,1,37,2,1
"Linkbricks-Horizon-AI-Ave",0.726157944119822,22,2,40,2,1
"calme-2.2-qwen2.5-72b",-0.168823544412937,58,32,83,35,28
"FluentlyLM-Prinum",0.720427121286738,23,2,40,2,1
"T3Q-qwen2.5-14b-v1.0-e3",0.922518667958913,16,1,33,1,1
"T3Q-Qwen2.5-14B-Instruct-",0.986540526723845,14,1,30,1,1
"Qwen2.5-32B-Instruct-abli",0.230556275009432,38,22,61,22,16
"Gilgamesh-72B",0.369718929943896,33,17,57,17,8
"ultiima-72B",1.17574103446752,5,1,23,1,1
"zetasepic-abliteratedV2-Q",0.20965333580592,39,22,61,24,16
"Awqward2.5-32B-Instruct",0.118026323136942,42,24,66,24,18
"test-2.5-72B",0.573298568236103,26,7,46,9,2
"shuttle-3",0.283576961370164,36,18,60,21,13
"Qwen2.5-32B-Instruct",-0.0190202999214883,48,28,75,28,24
"Mistral-Large-Instruct-24",0.587123552456245,25,7,46,9,2
"Rombos-LLM-V2.5-Qwen-72b",1.14510350938807,6,1,24,1,1
"Linkbricks-Horizon-AI-Ave.1",-0.0221037496636916,49,28,75,28,24
"Qwen2.5-72B-Instruct-abli.1",1.05657867273379,9,1,27,1,1
"Linkbricks-Horizon-AI-Ave.2",-0.0297223179135018,50,28,78,28,24
"lambda-qwen2.5-32b-dpo-te",0.050548949920338,46,25,67,28,22
"Qwentile2.5-32B-Instruct",0.837659771671574,17,1,35,1,1
"Rombos-LLM-V2.5-Qwen-32b",1.35047444381331,1,1,21,1,1
"openbuddy-llama3.3-70b-v2",0.569282788088775,27,7,46,8,2
"Linkbricks-Horizon-AI-Ave.3",0.599572271128708,24,6,44,7,1
"huihui-ai-abliterated-Qwe",-0.156670253837229,57,32,83,34,28
"Linkbricks-Horizon-AI-Ave.4",0.431907061053634,29,15,53,16,6
"ultiima-32B",1.00781343726926,13,1,27,1,1
"RYS-XLarge",0.208685299732789,40,22,61,24,16
"Qwen2.5-95B-Instruct",-0.675205746594475,81,54,100,57,45
"ultiima-72B-v1.5",0.965859585327514,15,1,30,1,1
"sky-t1-coder-32b-flash",0.103272448439013,44,24,66,24,19
"Llama-3.3-70B-Instruct",-0.958585002686441,91,65,100,67,60
"RomboUltima-32B",0.821281531443227,18,1,36,2,1
"calme-2.1-rys-78b",-0.135025322382378,55,32,82,34,26
"calme-2.3-rys-78b",-0.0752764858093107,52,28,80,31,24
"calme-2.1-qwen2-72b",-0.0912523700167092,53,29,80,31,24
"calme-2.2-rys-78b",-0.117894017905228,54,31,81,33,25
"MG-FinalMix-72B",-0.0562893606325097,51,28,80,29,24
"EVA-Qwen2.5-72B-v0.2",0.812308303347602,19,1,36,1,1
"Qwen2-72B-Orpo-v0.1",0.0549413946063235,45,25,67,28,22
"RYS-XLarge-base",-0.172637481337848,59,34,83,35,28
"calme-2.2-qwen2-72b",-0.389483051514125,65,42,91,43,35
"Arcee-Nova",-0.135679082399859,56,32,82,34,26
"L3.3-MS-Nevoria-70b",0.404210706913036,31,16,56,17,7
"Set-70b",0.154126383534107,41,24,65,24,17
"QwentileSwap",0.431326998988181,30,15,53,16,6
"li-14b-v0.4",-0.546597679554761,73,47,99,51,41
"tempmotacilla-cinerea-030",-0.540379551303138,71,47,99,50,41
"L3.3-Nevoria-R1-70b",0.792989735530252,21,1,37,2,1
"Qwen2-72B-Instruct",-0.533783870407499,70,48,98,49,41
"Galactic-Qwen-14B-Exp2",0.453661264772285,28,13,52,15,4
"BigQwen2.5-52B-Instruct",-0.583871385339229,77,48,100,51,42
"Llama-3.1-SauerkrautLM-70",-0.918148873750595,89,63,100,65,57
"Llama-3.1-70B-Instruct",-1.06730084068527,96,68,100,72,61
"Dracarys-72B-Instruct",-0.400221281920913,66,42,91,45,35
"Linkbricks-Horizon-AI-Ave.5",-0.345006656736021,62,39,90,41,33
"Lamarckvergence-14B",-0.313331231318712,61,38,87,41,32
"Lix-14B-v0.1",-0.51041019467376,68,46,98,48,39
"calme-2.2-llama3.1-70b",-0.934082158977961,90,65,100,67,59
"NQLSG-Qwen2.5-14B-MegaFus",-0.530391786071677,69,47,99,48,41
"calme-2.3-llama3.1-70b",-1.0584200982225,95,68,100,69,61
"NQLSG-Qwen2.5-14B-MegaFus.1",-0.592892515496396,78,51,100,52,42
"orca_mini_v8_1_70b",-0.559520308188573,74,48,100,51,41
"Apollo-70B",1.10634622198634,7,1,27,1,1
"ZYH-LLM-Qwen2.5-14B-V4",-0.77193485979322,84,60,100,61,50
"NQLSG-Qwen2.5-14B-MegaFus.2",-0.582313633881947,76,50,100,52,42
"Progenitor-V1.1-LLaMa-70B",0.334167610238236,34,17,59,17,9
"70B-L3.3-Cirrus-x1",0.310351685323352,35,17,60,18,10
"magnum-v1-72b",-0.36645246180096,64,41,89,42,34
"magnum-72b-v1",-0.35885752337789,63,41,89,42,34
"lamarckvergence-14b-tenso",-0.570751867421875,75,48,100,51,41
"li-14b-v0.4-slerp0.1",-0.820692938065226,85,61,100,61,52
"miscii-14b-0218",-0.456533650977094,67,45,95,45,37
"Cheng-2",-0.905991387373482,88,61,100,63,57
"NQLSG-Qwen2.5-14B-MegaFus.3",-0.609320605503164,79,50,100,52,42
"Llama3.3-70B-CogniLink",0.263966832672308,37,18,60,21,14
"tempesthenno-ppo-ckpt40",-0.616532800347278,80,52,100,54,43
"RYS-Llama3.1-Large",-1.13422149316348,99,74,100,79,62
"virtuoso-small-v2-tensopo",-1.03340641909723,93,67,100,68,61
"Cheng-2-v1.1",-1.02981184651462,92,67,100,67,61
"RombosBeagle-v2beta-MGS-3",1.02545618131147,10,1,27,1,1
"TheBeagle-v2beta-32B-MGS",1.01907035194681,11,1,27,1,1
"lambda-qwen2.5-14b-dpo-te",-0.687329942595973,82,54,100,57,46
"tempesthenno-nuslerp-001",-0.732440104777288,83,59,100,60,48
"Qwen2.5-14B-1M-YOYO-V3",-1.17047051783441,100,69,100,76,65
"Josiefied-Qwen2.5-14B-Ins",-0.847708718739675,86,61,100,61,54
"NQLSG-Qwen2.5-14B-MegaFus.4",-0.887858270760907,87,61,100,62,55
"Q2.5-Veltha-14B",-1.04678663162099,94,67,100,68,61
"ECE-ILAB-Q1",-0.221891813685283,60,35,84,36,28
"Virtuoso-Small-v2",-1.11203773859326,97,69,100,75,62
"Qwen2.5-14B-YOYO-V4-p1",-1.11434915899091,98,68,100,74,62
"Chocolatine-14B-Instruct-",-0.543803449177341,72,47,100,48,41
