"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.509789047208408,19,4,64,5,2
"calme-3.1-instruct-78b",0.337231348199325,31,5,76,6,3
"CalmeRys-78B-Orpo-v0.1",0.507151301657488,21,4,65,5,2
"calme-2.4-rys-78b",0.507151301657498,20,4,64,5,2
"Qwen2.5-72B-Instruct-abli",0.233917446600926,34,7,79,8,5
"Qwen2.5-72B-Instruct",0.0921252977182871,43,9,89,10,6
"calme-2.1-qwen2.5-72b",0.20622838550725,37,8,79,9,5
"Homer-v1.0-Qwen2.5-72B",0.0210325306138355,48,11,89,11,7
"qwen2.5-test-32b-it",1.48848686568929,2,1,10,1,1
"Linkbricks-Horizon-AI-Ave",1.37650585879144,3,1,12,1,1
"calme-2.2-qwen2.5-72b",0.00513466947739172,49,10,93,11,8
"FluentlyLM-Prinum",0.469438736664016,25,5,64,5,2
"T3Q-qwen2.5-14b-v1.0-e3",0.184534444709276,38,8,80,9,5
"T3Q-Qwen2.5-14B-Instruct-",0.224539779322976,35,7,79,8,5
"Qwen2.5-32B-Instruct-abli",0.566563525007095,15,4,62,4,2
"Gilgamesh-72B",-0.272861047535443,65,26,97,28,11
"ultiima-72B",0.423606265291328,27,5,65,6,3
"zetasepic-abliteratedV2-Q",0.363957453779134,29,6,68,6,3
"Awqward2.5-32B-Instruct",0.639976269681246,11,3,59,3,2
"test-2.5-72B",0.0876863186249124,44,10,83,10,6
"shuttle-3",-0.690618813348364,88,46,100,51,32
"Qwen2.5-32B-Instruct",0.571984764905033,13,3,63,4,2
"Mistral-Large-Instruct-24",-0.0688674335866737,55,11,94,13,9
"Rombos-LLM-V2.5-Qwen-72b",0.571295859138395,14,4,62,5,2
"Linkbricks-Horizon-AI-Ave.1",0.563015228545118,16,3,63,4,2
"Qwen2.5-72B-Instruct-abli.1",0.471410688588176,24,5,64,5,2
"Linkbricks-Horizon-AI-Ave.2",0.563015228545117,17,3,63,4,2
"lambda-qwen2.5-32b-dpo-te",0.429852183418265,26,5,65,6,2
"Qwentile2.5-32B-Instruct",0.63427659824294,12,3,58,4,2
"Rombos-LLM-V2.5-Qwen-32b",1.0086753567387,7,1,31,2,1
"openbuddy-llama3.3-70b-v2",0.483830275032495,22,5,64,5,2
"Linkbricks-Horizon-AI-Ave.3",1.302820101791,4,1,18,1,1
"huihui-ai-abliterated-Qwe",0.0655026876137477,45,10,91,10,6
"Linkbricks-Horizon-AI-Ave.4",0.7624378934499,10,2,46,2,1
"ultiima-32B",0.940004862837527,8,2,38,2,1
"RYS-XLarge",0.472099239074336,23,5,65,5,2
"Qwen2.5-95B-Instruct",-0.436061561783897,73,32,99,32,18
"ultiima-72B-v1.5",-0.0823265980602721,56,11,94,13,9
"sky-t1-coder-32b-flash",-0.232239698838042,64,19,97,26,11
"Llama-3.3-70B-Instruct",-0.435054903576336,72,32,99,32,18
"RomboUltima-32B",1.15959385775512,5,1,27,1,1
"calme-2.1-rys-78b",-0.462543769715015,76,32,99,36,19
"calme-2.3-rys-78b",-0.8079823643621,94,55,100,60,37
"calme-2.1-qwen2-72b",0.0212814949118338,47,10,90,11,7
"calme-2.2-rys-78b",-0.676037305253224,84,46,100,49,32
"MG-FinalMix-72B",-0.0239807821798088,53,11,94,11,8
"EVA-Qwen2.5-72B-v0.2",0.0993161265617699,42,10,82,10,6
"Qwen2-72B-Orpo-v0.1",0.0447871011864898,46,10,89,11,6
"RYS-XLarge-base",-0.0144532697844237,52,11,93,11,8
"calme-2.2-qwen2-72b",-0.416394055412571,70,32,99,32,13
"Arcee-Nova",-0.333062584092188,66,28,98,31,11
"L3.3-MS-Nevoria-70b",-0.493682185608411,77,32,100,38,22
"Set-70b",-0.613297490361472,81,40,100,45,28
"QwentileSwap",-0.0349862066022015,54,11,94,11,8
"li-14b-v0.4",0.550808546334367,18,4,62,5,2
"tempmotacilla-cinerea-030",-0.0894016080434992,57,11,94,13,9
"L3.3-Nevoria-R1-70b",0.347205496890183,30,6,68,6,3
"Qwen2-72B-Instruct",-0.500931966949251,78,35,100,39,22
"Galactic-Qwen-14B-Exp2",0.112067023747943,41,9,88,10,6
"BigQwen2.5-52B-Instruct",-0.353527651847828,68,28,99,31,12
"Llama-3.1-SauerkrautLM-70",-0.443057971971223,75,32,100,32,19
"Llama-3.1-70B-Instruct",-0.745418765240301,91,51,100,55,32
"Dracarys-72B-Instruct",-0.90355286574585,95,62,100,64,40
"Linkbricks-Horizon-AI-Ave.5",-0.134415657374518,60,11,95,13,10
"Lamarckvergence-14B",0.246067194652426,32,8,79,8,5
"Lix-14B-v0.1",-0.501057572867333,79,33,100,38,22
"calme-2.2-llama3.1-70b",-0.438335903934048,74,32,99,34,18
"NQLSG-Qwen2.5-14B-MegaFus",0.23847637029183,33,7,79,9,5
"calme-2.3-llama3.1-70b",-0.684215460208328,87,46,100,51,32
"NQLSG-Qwen2.5-14B-MegaFus.1",-0.102823656354801,58,13,94,13,9
"orca_mini_v8_1_70b",-1.28413353157614,100,77,100,80,63
"Apollo-70B",1.87426290135716,1,1,6,1,1
"ZYH-LLM-Qwen2.5-14B-V4",0.145417153517101,39,9,81,10,6
"NQLSG-Qwen2.5-14B-MegaFus.2",0.121228960696097,40,9,82,10,6
"Progenitor-V1.1-LLaMa-70B",-0.422479899460656,71,32,99,32,15
"70B-L3.3-Cirrus-x1",-0.12064697831613,59,13,95,13,10
"magnum-v1-72b",-1.028113923292,97,65,100,66,49
"magnum-72b-v1",-0.999743226162791,96,65,100,66,47
"lamarckvergence-14b-tenso",0.00154424412282683,50,11,92,11,8
"li-14b-v0.4-slerp0.1",-0.739919342976091,90,49,100,55,32
"miscii-14b-0218",-0.677014699204386,86,45,100,49,32
"Cheng-2",-0.350524051858482,67,28,99,30,12
"NQLSG-Qwen2.5-14B-MegaFus.3",0.370267537281881,28,6,68,6,3
"Llama3.3-70B-CogniLink",0.217748153788691,36,8,79,9,5
"tempesthenno-ppo-ckpt40",-0.645334795990175,82,44,100,47,30
"RYS-Llama3.1-Large",-1.06511542651341,98,66,100,67,53
"virtuoso-small-v2-tensopo",-0.41639405541257,69,32,99,32,13
"Cheng-2-v1.1",-0.579409808371373,80,38,100,40,28
"RombosBeagle-v2beta-MGS-3",1.04262178464549,6,1,31,2,1
"TheBeagle-v2beta-32B-MGS",0.88203335385116,9,2,39,2,1
"lambda-qwen2.5-14b-dpo-te",-0.166438725238975,62,13,95,19,10
"tempesthenno-nuslerp-001",-0.712364032986898,89,47,100,53,32
"Qwen2.5-14B-1M-YOYO-V3",-0.77078410618496,93,51,100,55,33
"Josiefied-Qwen2.5-14B-Ins",-0.195872054667168,63,19,95,22,10
"NQLSG-Qwen2.5-14B-MegaFus.4",-0.144138153371581,61,13,95,19,10
"Q2.5-Veltha-14B",-1.14270037412498,99,69,100,76,56
"ECE-ILAB-Q1",-0.662247287325922,83,45,100,47,31
"Virtuoso-Small-v2",-0.676833463049545,85,46,100,51,32
"Qwen2.5-14B-YOYO-V4-p1",-0.76483931621525,92,50,100,55,33
"Chocolatine-14B-Instruct-",-0.00376871277732693,51,10,93,11,8
