"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",1.22804003155609,9,1,27,1,1
"calme-3.1-instruct-78b",1.05068596085377,13,1,33,1,1
"CalmeRys-78B-Orpo-v0.1",1.17420644177195,10,1,30,1,1
"calme-2.4-rys-78b",1.15039579307823,12,1,30,1,1
"Qwen2.5-72B-Instruct-abli",0.195276950633508,39,18,67,20,14
"Qwen2.5-72B-Instruct",0.168854172138348,41,19,69,20,15
"calme-2.1-qwen2.5-72b",0.216805497672659,38,18,66,19,13
"Homer-v1.0-Qwen2.5-72B",0.827061606027514,18,1,40,1,1
"qwen2.5-test-32b-it",1.37377717633751,4,1,21,1,1
"Linkbricks-Horizon-AI-Ave",1.37467803779911,3,1,21,1,1
"calme-2.2-qwen2.5-72b",0.0633828293467951,44,23,73,25,16
"FluentlyLM-Prinum",0.80253701819646,19,1,40,2,1
"T3Q-qwen2.5-14b-v1.0-e3",0.64973252847362,25,6,45,7,1
"T3Q-Qwen2.5-14B-Instruct-",0.702376261959045,23,2,45,5,1
"Qwen2.5-32B-Instruct-abli",0.479542098400248,31,13,48,13,5
"Gilgamesh-72B",0.249805919197187,36,16,65,18,13
"ultiima-72B",0.935602771184911,15,1,33,1,1
"zetasepic-abliteratedV2-Q",0.443390713748617,32,13,50,14,7
"Awqward2.5-32B-Instruct",0.712919136491752,22,2,43,6,1
"test-2.5-72B",0.566267138729916,26,10,46,11,1
"shuttle-3",-0.233631976702581,57,34,91,34,26
"Qwen2.5-32B-Instruct",0.55354407175454,29,10,47,11,2
"Mistral-Large-Instruct-24",-0.0324226836083921,46,26,79,30,19
"Rombos-LLM-V2.5-Qwen-72b",1.1646806574848,11,1,30,1,1
"Linkbricks-Horizon-AI-Ave.1",0.528086241197319,30,10,47,13,2
"Qwen2.5-72B-Instruct-abli.1",0.88752807212451,16,1,35,1,1
"Linkbricks-Horizon-AI-Ave.2",0.563399817761101,27,10,47,11,2
"lambda-qwen2.5-32b-dpo-te",0.419292839192102,33,13,54,15,7
"Qwentile2.5-32B-Instruct",1.02813605843399,14,1,33,1,1
"Rombos-LLM-V2.5-Qwen-32b",1.45038798351917,1,1,19,1,1
"openbuddy-llama3.3-70b-v2",0.0588992997109967,45,24,73,26,16
"Linkbricks-Horizon-AI-Ave.3",1.26338285492757,7,1,25,1,1
"huihui-ai-abliterated-Qwe",0.29735113801041,34,15,59,16,12
"Linkbricks-Horizon-AI-Ave.4",0.869389664014375,17,1,37,1,1
"ultiima-32B",1.33404153531806,5,1,24,1,1
"RYS-XLarge",0.139068193166092,43,20,69,20,15
"Qwen2.5-95B-Instruct",-0.712024743013521,81,46,99,48,42
"ultiima-72B-v1.5",0.729538648520888,21,2,43,5,1
"sky-t1-coder-32b-flash",0.258882440481744,35,16,65,18,13
"Llama-3.3-70B-Instruct",-0.613842452289986,74,46,98,46,37
"RomboUltima-32B",1.24093478822137,8,1,25,1,1
"calme-2.1-rys-78b",-0.492206402229042,69,42,98,44,34
"calme-2.3-rys-78b",-0.700321370278844,80,48,98,48,42
"calme-2.1-qwen2-72b",-0.177092692384368,50,32,90,34,25
"calme-2.2-rys-78b",-0.764023859165353,84,48,99,49,44
"MG-FinalMix-72B",-0.218373087490784,55,34,92,34,26
"EVA-Qwen2.5-72B-v0.2",0.555327831813409,28,10,47,13,2
"Qwen2-72B-Orpo-v0.1",-0.0720469247974695,47,29,81,31,20
"RYS-XLarge-base",-0.199460357668395,54,32,91,34,26
"calme-2.2-qwen2-72b",-0.468083416470692,68,42,98,44,34
"Arcee-Nova",-0.386719765601923,63,38,97,40,32
"L3.3-MS-Nevoria-70b",-0.381002445125227,62,38,97,41,32
"Set-70b",-0.616345256491948,75,46,98,47,37
"QwentileSwap",0.735423332735715,20,2,43,5,1
"li-14b-v0.4",-0.158687671608812,48,31,90,32,25
"tempmotacilla-cinerea-030",-0.434006251852284,67,38,98,40,34
"L3.3-Nevoria-R1-70b",0.186609603707931,40,19,67,20,14
"Qwen2-72B-Instruct",-0.636798337888312,78,46,98,47,38
"Galactic-Qwen-14B-Exp2",0.243084413935037,37,16,65,18,13
"BigQwen2.5-52B-Instruct",-0.190192164531287,52,32,90,34,26
"Llama-3.1-SauerkrautLM-70",-0.62987054360452,76,46,98,46,38
"Llama-3.1-70B-Instruct",-0.967231929360893,95,58,99,61,47
"Dracarys-72B-Instruct",-0.814859938461398,88,50,99,55,44
