"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"CombinHorizon__huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES",-0.186102336246928,32,25,44,25,20
"CombinHorizon__zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES",-0.218044543191905,35,25,44,26,24
"EVA-UNIT-01__EVA-Qwen2.5-72B-v0.2",-0.159952672393108,31,24,44,25,19
"FINGU-AI__RomboUltima-32B",-0.231380650885145,36,26,44,28,25
"JungZoona__T3Q-Qwen2.5-14B-Instruct-1M-e3",0.493045652167367,5,1,11,1,1
"JungZoona__T3Q-qwen2.5-14b-v1.0-e3",0.493045652167367,5,1,11,1,1
"MaziyarPanahi__calme-2.1-qwen2-72b",-0.59626600016184,49,45,50,45,40
"MaziyarPanahi__calme-2.1-qwen2.5-72b",0.474039302881487,7,1,11,1,1
"MaziyarPanahi__calme-2.1-rys-78b",-0.291502362706064,39,29,45,29,26
"MaziyarPanahi__calme-2.2-qwen2-72b",-0.633296769998335,50,45,50,45,44
"MaziyarPanahi__calme-2.2-qwen2.5-72b",0.466115123832652,8,1,11,1,1
"MaziyarPanahi__calme-2.2-rys-78b",-0.33551258604886,41,29,47,31,29
"MaziyarPanahi__calme-2.3-rys-78b",-0.273071029106867,37,29,45,29,25
"MaziyarPanahi__calme-2.4-rys-78b",0.0848597348259654,20,12,28,12,12
"MaziyarPanahi__calme-3.1-instruct-78b",0.0841059197101972,21,12,29,12,12
"MaziyarPanahi__calme-3.2-instruct-78b",0.156394229952561,17,12,28,12,10
"OpenBuddy__openbuddy-llama3.3-70b-v24.1-131k",-0.274327131444291,38,29,45,29,25
"Qwen__Qwen2.5-32B-Instruct",0.0979426028369133,19,12,28,12,12
"Qwen__Qwen2.5-72B-Instruct",0.597642095600836,3,1,11,1,1
"Sakalti__ultiima-32B",-0.00958371099898514,25,15,35,17,12
"Sakalti__ultiima-72B",0.450552016148628,9,1,12,2,1
"Sakalti__ultiima-72B-v1.5",0.660764505459333,1,1,9,1,1
"Saxo__Linkbricks-Horizon-AI-Avengers-V1-32B",-0.0253600329986781,27,17,36,17,13
"Saxo__Linkbricks-Horizon-AI-Avengers-V3-32B",0.0406568067600195,24,12,31,13,12
"Saxo__Linkbricks-Horizon-AI-Avengers-V4-32B",-0.36763907877884,44,31,48,32,29
"Saxo__Linkbricks-Horizon-AI-Avengers-V5-32B",-0.341722358705793,43,29,47,31,29
"Saxo__Linkbricks-Horizon-AI-Avengers-V6-32B",-0.0222862625096854,26,17,36,17,12
"Undi95__MG-FinalMix-72B",-0.553070806337574,47,42,50,44,39
"dfurman__CalmeRys-78B-Orpo-v0.1",0.0559917104172833,23,12,30,12,12
"dfurman__Qwen2-72B-Orpo-v0.1",-0.569206964225429,48,44,50,44,39
"dnhkng__RYS-XLarge",-0.319004969338482,40,29,46,29,28
"dnhkng__RYS-XLarge-base",-0.475000286851885,45,37,50,39,35
"ehristoforu__qwen2.5-test-32b-it",0.200063179533315,15,11,24,11,8
"fluently-lm__FluentlyLM-Prinum",0.227812337540697,13,10,24,10,5
"huihui-ai__Qwen2.5-72B-Instruct-abliterated",0.383628340296376,11,2,16,4,2
"maldv__Awqward2.5-32B-Instruct",0.133371062847757,18,12,28,12,11
"maldv__Qwentile2.5-32B-Instruct",-0.193221531465112,34,25,44,25,23
"meta-llama__Llama-3.3-70B-Instruct",-0.338741452753154,42,29,47,31,29
"mistralai__Mistral-Large-Instruct-2411",-0.0540700327070769,28,18,36,18,14
"newsbang__Homer-v1.0-Qwen2.5-72B",0.580690922072489,4,1,11,1,1
"raphgg__test-2.5-72B",0.247143231252987,12,9,24,10,5
"rombodawg__Rombos-LLM-V2.5-Qwen-32b",0.0799531873357422,22,12,29,12,12
"rombodawg__Rombos-LLM-V2.5-Qwen-72b",0.418487156112523,10,2,14,2,1
"rubenroy__Gilgamesh-72B",0.210740466868259,14,10,24,11,7
"shuttleai__shuttle-3",0.60015290047487,2,1,11,1,1
"ssmits__Qwen2.5-95B-Instruct",-0.140038399444705,30,23,43,24,19
"tanliboy__lambda-qwen2.5-32b-dpo-test",-0.128760855371298,29,20,43,23,18
"tomasmcm__sky-t1-coder-32b-flash",-0.508090725217197,46,39,50,40,37
"zetasepic__Qwen2.5-32B-Instruct-abliterated-v2",-0.190497067859355,33,25,44,25,23
"zetasepic__Qwen2.5-72B-Instruct-abliterated",0.198552480650954,16,11,25,11,8
