"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"CombinHorizon__huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES",-0.232796145624135,34,26,46,28,23
"CombinHorizon__zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES",-0.275226983546299,36,30,46,31,25
"EVA-UNIT-01__EVA-Qwen2.5-72B-v0.2",-0.214702937434367,33,25,45,26,22
"FINGU-AI__RomboUltima-32B",-0.270600775725073,35,30,46,31,25
"JungZoona__T3Q-Qwen2.5-14B-Instruct-1M-e3",0.39578714304999,10,3,16,4,1
"JungZoona__T3Q-qwen2.5-14b-v1.0-e3",0.49637437995516,5,1,11,1,1
"MaziyarPanahi__calme-2.1-qwen2-72b",-0.640937476569961,49,46,50,47,43
"MaziyarPanahi__calme-2.1-qwen2.5-72b",0.371147789035463,11,4,17,4,1
"MaziyarPanahi__calme-2.1-rys-78b",-0.319422377394182,41,31,48,31,29
"MaziyarPanahi__calme-2.2-qwen2-72b",-0.645074927858925,50,46,50,47,44
"MaziyarPanahi__calme-2.2-qwen2.5-72b",0.407531677965269,8,3,16,3,1
"MaziyarPanahi__calme-2.2-rys-78b",-0.364377488802584,43,32,48,33,31
"MaziyarPanahi__calme-2.3-rys-78b",-0.311160988163822,39,31,48,31,29
"MaziyarPanahi__calme-2.4-rys-78b",0.028802627048889,24,15,32,16,12
"MaziyarPanahi__calme-3.1-instruct-78b",0.0495035771056624,22,15,31,15,12
"MaziyarPanahi__calme-3.2-instruct-78b",0.14534028320313,18,12,29,12,8
"OpenBuddy__openbuddy-llama3.3-70b-v24.1-131k",-0.287746384862504,38,30,46,31,26
"Qwen__Qwen2.5-32B-Instruct",0.0610369411769014,21,12,31,15,12
"Qwen__Qwen2.5-72B-Instruct",0.554126754707283,4,1,11,1,1
"Sakalti__ultiima-32B",-0.0371240619273272,28,18,34,18,16
"Sakalti__ultiima-72B",0.424077934521099,7,1,15,3,1
"Sakalti__ultiima-72B-v1.5",0.632214743932883,1,1,7,1,1
"Saxo__Linkbricks-Horizon-AI-Avengers-V1-32B",-0.035868227591044,27,17,34,18,15
"Saxo__Linkbricks-Horizon-AI-Avengers-V3-32B",0.035599100467723,23,15,32,16,12
"Saxo__Linkbricks-Horizon-AI-Avengers-V4-32B",-0.378477362195608,44,33,48,33,31
"Saxo__Linkbricks-Horizon-AI-Avengers-V5-32B",-0.341662551571856,42,31,48,32,30
"Saxo__Linkbricks-Horizon-AI-Avengers-V6-32B",-0.0129353985736183,25,17,33,17,15
"Undi95__MG-FinalMix-72B",-0.521104247641714,48,39,50,42,35
"dfurman__CalmeRys-78B-Orpo-v0.1",0.0723544133251885,20,12,30,15,12
"dfurman__Qwen2-72B-Orpo-v0.1",-0.514241036387336,47,39,50,42,35
"dnhkng__RYS-XLarge",-0.277568120978597,37,30,46,31,25
"dnhkng__RYS-XLarge-base",-0.435975794641078,46,34,50,35,33
"ehristoforu__qwen2.5-test-32b-it",0.209189527901826,16,8,24,9,6
"fluently-lm__FluentlyLM-Prinum",0.230902687545434,15,7,24,8,5
"huihui-ai__Qwen2.5-72B-Instruct-abliterated",0.399056226535182,9,3,16,4,1
"maldv__Awqward2.5-32B-Instruct",0.169278747508398,17,11,28,12,7
"maldv__Qwentile2.5-32B-Instruct",-0.155844038113483,32,22,43,23,20
"meta-llama__Llama-3.3-70B-Instruct",-0.315895859043999,40,31,48,31,29
"mistralai__Mistral-Large-Instruct-2411",-0.0251824766588289,26,17,34,18,15
"newsbang__Homer-v1.0-Qwen2.5-72B",0.597835561331406,3,1,10,1,1
"raphgg__test-2.5-72B",0.268533293830828,13,6,21,7,5
"rombodawg__Rombos-LLM-V2.5-Qwen-32b",0.117343123844363,19,12,30,12,11
"rombodawg__Rombos-LLM-V2.5-Qwen-72b",0.470664311572022,6,1,14,1,1
"rubenroy__Gilgamesh-72B",0.266827464971654,14,6,21,7,5
"shuttleai__shuttle-3",0.626834976113873,2,1,7,1,1
"ssmits__Qwen2.5-95B-Instruct",-0.0792411866748988,30,19,38,20,17
"tanliboy__lambda-qwen2.5-32b-dpo-test",-0.0525092078198246,29,18,34,19,16
"tomasmcm__sky-t1-coder-32b-flash",-0.416326001635167,45,33,48,34,32
"zetasepic__Qwen2.5-32B-Instruct-abliterated-v2",-0.137727447235644,31,21,42,22,19
"zetasepic__Qwen2.5-72B-Instruct-abliterated",0.269366218022255,12,6,21,7,5
