"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.930424697449543,1,1,12,1,1
"calme-3.1-instruct-78b",0.804792583752828,3,1,15,1,1
"CalmeRys-78B-Orpo-v0.1",0.903865715384553,2,1,12,1,1
"calme-2.4-rys-78b",0.78199512026752,4,1,18,1,1
"Qwen2.5-72B-Instruct-abli...6",0.264921733146192,15,3,32,5,1
"Qwen2.5-72B-Instruct",0.223735936244792,18,5,36,6,1
"calme-2.1-qwen2.5-72b",0.084137068948626,19,6,42,9,3
"Homer-v1.0-Qwen2.5-72B",0.646014524535113,6,1,18,1,1
"qwen2.5-test-32b-it",-0.00233027782210593,23,9,46,9,6
"Linkbricks-Horizon-AI-Ave...11",-0.0269483209638763,24,9,47,9,6
"calme-2.2-qwen2.5-72b",-0.0770527379791748,27,9,49,10,7
"FluentlyLM-Prinum",0.227603024271858,16,4,36,5,1
"T3Q-qwen2.5-14b-v1.0-e3",0.617162475736829,8,1,19,1,1
"T3Q-Qwen2.5-14B-Instruct-",0.730491161043828,5,1,18,1,1
"Qwen2.5-32B-Instruct-abli",-0.21200021661482,30,13,49,14,9
"Gilgamesh-72B",0.433603890340321,11,1,28,1,1
"ultiima-72B",0.401013210161111,12,1,29,1,1
"zetasepic-abliteratedV2-Q",-0.153411749007884,29,13,49,13,9
"Awqward2.5-32B-Instruct",-0.0818394632641217,28,9,48,12,7
"test-2.5-72B",0.62804214355275,7,1,19,1,1
"shuttle-3",0.441630117106279,10,1,28,1,1
"Qwen2.5-32B-Instruct",-0.291568055595012,33,16,50,18,12
"Mistral-Large-Instruct-24",0.0388606970141718,20,9,44,9,5
"Rombos-LLM-V2.5-Qwen-72b",0.329101667771165,13,3,30,3,1
"Linkbricks-Horizon-AI-Ave...26",-0.331063440782794,37,16,50,19,13
"Qwen2.5-72B-Instruct-abli...27",0.273160015235678,14,3,30,4,1
"Linkbricks-Horizon-AI-Ave...28",-0.365196546265855,38,19,50,19,13
"lambda-qwen2.5-32b-dpo-te",-0.559967962983341,46,23,50,25,19
"Qwentile2.5-32B-Instruct",-0.0767265815967404,26,9,49,11,7
"Rombos-LLM-V2.5-Qwen-32b",0.225989178766547,17,4,36,5,1
"openbuddy-llama3.3-70b-v2",-0.0639505318921039,25,9,48,9,6
"Linkbricks-Horizon-AI-Ave...33",-0.282969855286941,32,14,50,16,12
"huihui-ai-abliterated-Qwe",-0.499537025525864,43,20,50,23,19
"Linkbricks-Horizon-AI-Ave...35",-0.395997963462684,40,19,50,19,14
"ultiima-32B",0.0370322325551986,21,9,43,9,5
"RYS-XLarge",-0.273947053681328,31,15,50,18,11
"Qwen2.5-95B-Instruct",-0.417184317951875,42,19,50,19,14
"ultiima-72B-v1.5",0.44634159011312,9,1,28,1,1
"sky-t1-coder-32b-flash",-0.638366708131285,49,26,50,29,19
"Llama-3.3-70B-Instruct",-0.630374252233274,48,25,50,29,19
"RomboUltima-32B",-0.308927695313268,36,16,50,19,12
"calme-2.1-rys-78b",-0.305223626445219,35,16,50,19,12
"calme-2.3-rys-78b",-0.296243379857358,34,16,50,19,12
"calme-2.1-qwen2-72b",-0.379840806219918,39,19,50,19,13
"calme-2.2-rys-78b",-0.402438344037016,41,19,50,19,14
"MG-FinalMix-72B",-0.516010514251077,44,20,50,24,19
"EVA-Qwen2.5-72B-v0.2",0.0338056864247491,22,9,44,9,5
"Qwen2-72B-Orpo-v0.1",-0.550780606492197,45,23,50,25,19
"RYS-XLarge-base",-0.58149363324088,47,25,50,28,19
"calme-2.2-qwen2-72b",-0.782332802924761,50,31,50,31,25
